From	Entry
ENSP00000199389	Q9BQI3
ENSP00000199814	Q9NW64
ENSP00000199940	P11137
ENSP00000200135	O43264
ENSP00000200181	P16144
ENSP00000200453	O75807
ENSP00000200457	Q15654
ENSP00000200691	P25713
ENSP00000201586	O00204
ENSP00000201647	Q8TE68
ENSP00000201943	O00305
ENSP00000202625	O95932
ENSP00000202677	Q2PPJ7
ENSP00000202773	Q02878
ENSP00000202917	P00973
ENSP00000203001	Q9UJA5
ENSP00000203407	P31930
ENSP00000203556	Q9P107
ENSP00000203629	P18627
ENSP00000204517	Q01664
ENSP00000204549	Q8N8D1
ENSP00000204604	Q9H2X0
ENSP00000204637	P49771
ENSP00000204726	Q08378
ENSP00000204961	P98172
ENSP00000205061	Q92896
ENSP00000205143	Q9NYJ7
ENSP00000205214	Q4L235
ENSP00000205386	A4D0S4
ENSP00000205402	P09622
ENSP00000205948	P02749
ENSP00000206249	P03372
ENSP00000206262	Q9UGC6
ENSP00000206423	Q76M96
ENSP00000206446	P23946
ENSP00000206595	Q7L622
ENSP00000206765	P22735
ENSP00000207062	O00161
ENSP00000207457	Q9UIF3
ENSP00000207549	Q70J99
ENSP00000207870	O75191
ENSP00000209875	P45973
ENSP00000209929	Q99518
ENSP00000210633	Q9NTN9
ENSP00000211076	Q9BZJ3
ENSP00000211287	O15264
ENSP00000211413	Q99946
ENSP00000212015	Q96EB6
ENSP00000212355	Q03167
ENSP00000215057	P28698
ENSP00000215061	Q9H607
ENSP00000215115	Q8WUZ0
ENSP00000215368	O43921
ENSP00000215375	P30049
ENSP00000215473	Q9BZA8
ENSP00000215531	O75264
ENSP00000215539	P35858
ENSP00000215631	O75293
ENSP00000215637	Q13477
ENSP00000215659	P53778
ENSP00000215727	P05546
ENSP00000215743	P24347
ENSP00000215790	Q9BXI6
ENSP00000215793	Q15459
ENSP00000215794	Q9UMW8
ENSP00000215832	P28482
ENSP00000215862	Q9Y6X9
ENSP00000215904	Q96GD0
ENSP00000215917	Q9UH36
ENSP00000215919	Q9HBE1
ENSP00000215941	Q6NXT1
ENSP00000215957	Q8N3F8
ENSP00000216029	Q9Y3M2
ENSP00000216036	Q9UHP6
ENSP00000216037	P17861
ENSP00000216038	Q9Y3I0
ENSP00000216061	O75170
ENSP00000216080	Q9BU23
ENSP00000216101	Q92737
ENSP00000216106	Q9UGU5
ENSP00000216115	Q13323
ENSP00000216122	P33992
ENSP00000216133	O95931
ENSP00000216139	P10323
ENSP00000216181	P35579
ENSP00000216254	Q99798
ENSP00000216281	P07900
ENSP00000216286	Q14112
ENSP00000216288	P27448
ENSP00000216294	Q16533
ENSP00000216297	Q9Y5B9
ENSP00000216341	P10144
ENSP00000216350	O14744
ENSP00000216392	P06737
ENSP00000216442	Q9Y5K8
ENSP00000216446	Q9NYT0
ENSP00000216471	Q9P1V8
ENSP00000216479	O95433
ENSP00000216484	O15270
ENSP00000216487	Q8TB24
ENSP00000216492	P10645
ENSP00000216513	Q9UIU6
ENSP00000216517	Q6ZU80
ENSP00000216554	P55010
ENSP00000216568	P57103
ENSP00000216639	Q99986
ENSP00000216727	Q86U42
ENSP00000216733	O43281
ENSP00000216832	Q9H307
ENSP00000216877	P18433
ENSP00000216923	Q9NTW7
ENSP00000216962	P11216
ENSP00000217086	Q9UJQ4
ENSP00000217109	Q05048
ENSP00000217121	O43399
ENSP00000217182	Q05639
ENSP00000217233	Q96RU7
ENSP00000217260	Q2I0M5
ENSP00000217289	Q9BQL6
ENSP00000217320	A0PJX2
ENSP00000217372	Q96SZ6
ENSP00000217428	P49223
ENSP00000217456	Q9HDC9
ENSP00000217885	Q9Y5S8
ENSP00000217893	Q16594
ENSP00000217909	Q8WUT9
ENSP00000217939	Q9NR99
ENSP00000217957	Q86XK7
ENSP00000217958	O75832
ENSP00000217971	O00264
ENSP00000218008	Q9UN42
ENSP00000218032	Q9NR97
ENSP00000218068	O60829
ENSP00000218089	Q8N3U4
ENSP00000218099	P00740
ENSP00000218104	P33897
ENSP00000218147	Q5H9F3
ENSP00000218224	O60828
ENSP00000218230	Q9UHG2
ENSP00000218348	P51784
ENSP00000218364	O43719
ENSP00000218388	P01033
ENSP00000218439	Q9UNF1
ENSP00000218652	Q9NV92
ENSP00000218867	Q13326
ENSP00000218894	Q8NEM7
ENSP00000219022	Q6UX06
ENSP00000219069	O14978
ENSP00000219070	P08253
ENSP00000219091	O95201
ENSP00000219197	P23435
ENSP00000219251	Q96AP0
ENSP00000219271	P51511
ENSP00000219301	Q6PEW0
ENSP00000219315	Q8TBK2
ENSP00000219320	Q9NVC3
ENSP00000219343	Q92536
ENSP00000219406	Q13087
ENSP00000219476	P49815
ENSP00000219478	O60304
ENSP00000219481	Q9NUI1
ENSP00000219611	O75808
ENSP00000219689	Q70CQ4
ENSP00000219746	O15405
ENSP00000219794	O14874
ENSP00000219837	Q1ED39
ENSP00000219905	Q8IWI9
ENSP00000220003	P41240
ENSP00000220062	Q9NYN1
ENSP00000220244	Q8WUJ3
ENSP00000220325	Q9H223
ENSP00000220429	Q06547
ENSP00000220509	Q9P253
ENSP00000220669	Q8TCF1
ENSP00000220751	O43353
ENSP00000220772	Q8N474
ENSP00000220849	P60228
ENSP00000220888	Q9UHF7
ENSP00000220959	O95071
ENSP00000221086	Q96QG7
ENSP00000221130	P00390
ENSP00000221166	P07197
ENSP00000221200	Q7L273
ENSP00000221249	Q8IY17
ENSP00000221264	Q03405
ENSP00000221315	O94892
ENSP00000221363	O00754
ENSP00000221399	O00295
ENSP00000221419	P14866
ENSP00000221444	Q96RP8
ENSP00000221448	P08621
ENSP00000221476	P06732
ENSP00000221480	Q96HA9
ENSP00000221485	Q9P2U7
ENSP00000221486	O75792
ENSP00000221496	P03971
ENSP00000221504	Q9NXH9
ENSP00000221515	Q9HD89
ENSP00000221538	Q9H0K4
ENSP00000221543	Q9HA65
ENSP00000221554	P13994
ENSP00000221797	Q9UHV8
ENSP00000221801	P22087
ENSP00000221891	P51693
ENSP00000221899	Q8WUQ7
ENSP00000221922	Q9Y3X0
ENSP00000221980	Q9UMF0
ENSP00000221992	P06731
ENSP00000221996	O43186
ENSP00000222005	Q16543
ENSP00000222008	Q9UI14
ENSP00000222115	Q92839
ENSP00000222139	P19235
ENSP00000222145	Q5U651
ENSP00000222224	Q96BZ8
ENSP00000222250	Q8TBH0
ENSP00000222254	O00459
ENSP00000222271	P49747
ENSP00000222304	P81172
ENSP00000222329	P50548
ENSP00000222330	P49840
ENSP00000222345	O60292
ENSP00000222374	Q8NFZ8
ENSP00000222567	Q3B726
ENSP00000222573	P26012
ENSP00000222574	O60381
ENSP00000222584	Q02446
ENSP00000222718	O43364
ENSP00000222725	Q8NES3
ENSP00000222747	O95859
ENSP00000222792	P52757
ENSP00000222800	Q8NFV4
ENSP00000222812	Q16623
ENSP00000222823	Q9Y239
ENSP00000223023	O00401
ENSP00000223051	Q9UP52
ENSP00000223073	Q9NW13
ENSP00000223095	P05121
ENSP00000223127	O60568
ENSP00000223145	Q86VQ1
ENSP00000223190	Q16656
ENSP00000223193	Q15910
ENSP00000223357	Q8IUX7
ENSP00000223423	P23219
ENSP00000223791	Q7Z591
ENSP00000223795	P32971
ENSP00000224140	Q7Z333
ENSP00000224237	P08670
ENSP00000224721	Q9H251
ENSP00000224949	Q5JRX3
ENSP00000225171	Q9UKB3
ENSP00000225174	P30405
ENSP00000225235	O60347
ENSP00000225296	Q9H6R0
ENSP00000225308	Q9BZJ4
ENSP00000225328	Q93086
ENSP00000225388	Q7Z417
ENSP00000225394	Q9Y2X7
ENSP00000225576	Q96ET8
ENSP00000225577	P23443
ENSP00000225609	Q9Y2B2
ENSP00000225648	P17509
ENSP00000225688	Q9Y272
ENSP00000225719	O75976
ENSP00000225737	O43572
ENSP00000225740	P30838
ENSP00000225777	O43760
ENSP00000225792	P17844
ENSP00000225927	P54802
ENSP00000225964	P02452
ENSP00000225972	Q96AG4
ENSP00000225983	Q9UQL6
ENSP00000226091	Q15768
ENSP00000226218	P04004
ENSP00000226230	Q5BJF2
ENSP00000226299	P28838
ENSP00000226319	Q6IE81
ENSP00000226382	Q99453
ENSP00000226460	Q99954
ENSP00000226524	P10720
ENSP00000226760	O76024
ENSP00000226840	Q8N5Z0
ENSP00000227163	P17947
ENSP00000227348	O95727
ENSP00000227471	Q9H1C4
ENSP00000227503	Q15637
ENSP00000227507	P24385
ENSP00000227752	Q13651
ENSP00000228136	O00193
ENSP00000228251	P16989
ENSP00000228264	Q96FC9
ENSP00000228347	Q9NW08
ENSP00000228468	P78348
ENSP00000228476	P14920
ENSP00000228506	Q14165
ENSP00000228515	Q9H175
ENSP00000228644	P13349
ENSP00000228682	P08151
ENSP00000228705	Q9ULR3
ENSP00000228811	Q16378
ENSP00000228825	O15145
ENSP00000228862	Q9BY84
ENSP00000228936	Q93070
ENSP00000228938	P08493
ENSP00000229201	Q9UNS1
ENSP00000229214	Q13601
ENSP00000229243	Q8NEB7
ENSP00000229268	P45974
ENSP00000229387	Q33E94
ENSP00000229395	Q9NVK5
ENSP00000229402	Q12918
ENSP00000229446	Q9NYF8
ENSP00000229554	Q5TD94
ENSP00000229583	Q96IZ2
ENSP00000229708	Q9BZM6
ENSP00000229729	Q53GD3
ENSP00000229768	P35372
ENSP00000229771	O00294
ENSP00000229866	O76064
ENSP00000229922	P40123
ENSP00000229955	Q9BZJ6
ENSP00000229971	Q9UKA2
ENSP00000230053	Q9NPZ5
ENSP00000230085	O60493
ENSP00000230122	O43167
ENSP00000230321	Q99750
ENSP00000230323	P19484
ENSP00000230354	P20226
ENSP00000230419	Q13308
ENSP00000230431	O43598
ENSP00000230510	P33981
ENSP00000230529	O95389
ENSP00000230658	P61371
ENSP00000230671	Q99884
ENSP00000230901	Q9H0E9
ENSP00000230990	Q99075
ENSP00000231004	P28300
ENSP00000231009	P49863
ENSP00000231021	Q9ULB4
ENSP00000231134	Q9Y5E4
ENSP00000231136	Q9Y5E3
ENSP00000231173	Q9Y5E8
ENSP00000231188	O15303
ENSP00000231228	P29460
ENSP00000231229	Q6UX41
ENSP00000231357	P78413
ENSP00000231449	P05112
ENSP00000231484	Q9NPG4
ENSP00000231487	P63208
ENSP00000231512	Q8NC54
ENSP00000231524	P36406
ENSP00000231572	P54136
ENSP00000231668	Q12981
ENSP00000231749	O75800
ENSP00000231751	P02788
ENSP00000231790	P40692
ENSP00000232003	P04196
ENSP00000232217	P50120
ENSP00000232424	Q14469
ENSP00000232458	Q9H8V3
ENSP00000232564	Q9HAV0
ENSP00000232603	Q86VD1
ENSP00000232888	O43818
ENSP00000232974	Q9UFB7
ENSP00000232978	P30414
ENSP00000233027	P51957
ENSP00000233146	P43246
ENSP00000233242	P04114
ENSP00000233330	Q9BST9
ENSP00000233331	Q9C086
ENSP00000233379	Q96GK7
ENSP00000233557	Q9UHY1
ENSP00000233607	O95996
ENSP00000233712	Q9H8M9
ENSP00000233714	O43813
ENSP00000233809	P18065
ENSP00000233840	Q9Y3R4
ENSP00000233892	Q9Y3A3
ENSP00000233944	Q9UGI9
ENSP00000233948	Q9Y6F9
ENSP00000233954	Q01638
ENSP00000233957	Q13478
ENSP00000234160	Q9H8Y8
ENSP00000234170	Q03701
ENSP00000234179	O94806
ENSP00000234198	Q07687
ENSP00000234313	P08567
ENSP00000234371	Q969F8
ENSP00000234389	O60391
ENSP00000234488	P51797
ENSP00000234626	O00311
ENSP00000234739	O00512
ENSP00000234831	Q9BXS4
ENSP00000235150	Q6ZMZ0
ENSP00000235180	O95886
ENSP00000235310	Q9UI95
ENSP00000235329	O95140
ENSP00000235372	Q13029
ENSP00000235521	Q9UGM6
ENSP00000236040	Q32P28
ENSP00000236137	O60779
ENSP00000236192	O75379
ENSP00000236342	Q86SQ9
ENSP00000236412	Q12972
ENSP00000236495	Q2M3M2
ENSP00000236698	Q8WVM7
ENSP00000236850	P02647
ENSP00000236877	Q9UPR5
ENSP00000236918	P45379
ENSP00000236995	P16220
ENSP00000237201	Q9HBV2
ENSP00000237247	Q9BQI5
ENSP00000237281	Q8TB52
ENSP00000237353	Q8TBY8
ENSP00000237455	O00237
ENSP00000237536	O94964
ENSP00000237596	Q13563
ENSP00000237612	Q9UNQ0
ENSP00000237654	Q14094
ENSP00000237696	P49788
ENSP00000238146	Q8NHQ9
ENSP00000238256	Q5T1M5
ENSP00000238508	P48595
ENSP00000238616	Q8TD19
ENSP00000238647	Q9H1B7
ENSP00000238651	P49753
ENSP00000238667	Q9UPI3
ENSP00000238682	P10600
ENSP00000238788	Q6NUQ4
ENSP00000238856	Q6ULP2
ENSP00000238994	Q9UQK1
ENSP00000239027	Q9NRZ9
ENSP00000239165	P09629
ENSP00000239214	Q12981
ENSP00000239223	P28562
ENSP00000239367	Q86VZ4
ENSP00000239440	Q8WWN8
ENSP00000239449	Q9Y5E9
ENSP00000239450	Q9Y5F1
ENSP00000239614	Q6P1R3
ENSP00000239690	Q96RS6
ENSP00000239830	Q9BR77
ENSP00000239882	P32519
ENSP00000239885	O15198
ENSP00000239906	Q9NYF3
ENSP00000239938	P18146
ENSP00000240055	P25208
ENSP00000240095	Q15043
ENSP00000240123	O60504
ENSP00000240132	Q15822
ENSP00000240139	P48454
ENSP00000240304	O95232
ENSP00000240316	P38432
ENSP00000240328	Q13207
ENSP00000240333	P78383
ENSP00000240335	P57082
ENSP00000240361	Q8IWB6
ENSP00000240364	Q9C073
ENSP00000240587	Q63HK5
ENSP00000240617	Q6P4A8
ENSP00000240619	Q9NYW0
ENSP00000240652	P10997
ENSP00000240662	Q15842
ENSP00000240687	Q9NYW3
ENSP00000240691	Q9NYW1
ENSP00000240731	Q13398
ENSP00000240874	O60229
ENSP00000241014	Q9UQF2
ENSP00000241041	Q9Y5Y5
ENSP00000241052	P04040
ENSP00000241069	P22303
ENSP00000241125	Q9Y6H8
ENSP00000241274	O94933
ENSP00000241305	Q8N436
ENSP00000241453	P36888
ENSP00000241527	Q7Z6M4
ENSP00000242066	P50549
ENSP00000242067	Q3SYG4
ENSP00000242208	P08476
ENSP00000242209	O95302
ENSP00000242249	O60896
ENSP00000242257	Q9UI43
ENSP00000242261	Q15672
ENSP00000242315	Q9UPV7
ENSP00000242338	P26992
ENSP00000242465	P10124
ENSP00000242480	P11161
ENSP00000242591	Q8WYA0
ENSP00000242607	Q96D96
ENSP00000242719	Q9Y3C5
ENSP00000242728	Q9C0J9
ENSP00000242783	Q16512
ENSP00000242804	Q9H7R0
ENSP00000242810	Q6TFL4
ENSP00000242827	Q9BY08
ENSP00000242848	Q5T200
ENSP00000242994	Q9HD90
ENSP00000243050	P22736
ENSP00000243056	P31276
ENSP00000243077	Q07954
ENSP00000243103	P31275
ENSP00000243222	Q03692
ENSP00000243286	Q969E4
ENSP00000243314	P43362
ENSP00000243326	Q5UIP0
ENSP00000243440	Q9NR55
ENSP00000243498	Q06265
ENSP00000243644	Q9GZX5
ENSP00000243706	Q68CZ6
ENSP00000243786	P05111
ENSP00000243896	Q9NQQ7
ENSP00000244040	Q9UL26
ENSP00000244043	Q16647
ENSP00000244096	P43363
ENSP00000244174	Q01113
ENSP00000244227	Q8WVK2
ENSP00000244289	Q05469
ENSP00000244333	O95274
ENSP00000244360	Q9H2S5
ENSP00000244364	Q03001
ENSP00000244426	Q9UK97
ENSP00000244496	Q96EU6
ENSP00000244513	Q13410
ENSP00000244520	P09234
ENSP00000244527	Q14916
ENSP00000244565	Q8IV45
ENSP00000244571	Q5JTZ9
ENSP00000244576	Q9UJN7
ENSP00000244623	P58173
ENSP00000244745	Q06945
ENSP00000244766	Q9NPD7
ENSP00000244769	P54253
ENSP00000244776	P35659
ENSP00000245105	Q8TE82
ENSP00000245255	Q96J94
ENSP00000245304	P10114
ENSP00000245418	Q9BZI7
ENSP00000245451	P12644
ENSP00000245479	P48436
ENSP00000245503	Q9UKX2
ENSP00000245551	A9UHW6
ENSP00000245564	Q9BUK6
ENSP00000245620	O75022
ENSP00000245680	Q8WV83
ENSP00000245812	Q9BT30
ENSP00000245817	P41273
ENSP00000245838	Q8NI27
ENSP00000245862	P40259
ENSP00000245907	P01024
ENSP00000245923	O75298
ENSP00000245925	O95834
ENSP00000245957	Q8NHU2
ENSP00000245983	O43555
ENSP00000246006	Q9NPY3
ENSP00000246020	Q9H114
ENSP00000246043	Q9P2E9
ENSP00000246080	Q12870
ENSP00000246104	Q9NQ03
ENSP00000246174	Q6P1M9
ENSP00000246186	Q9Y5R2
ENSP00000246190	Q96P71
ENSP00000246194	Q9UKM9
ENSP00000246229	Q9UPG8
ENSP00000246505	Q5JVF3
ENSP00000246533	P04632
ENSP00000246535	Q9BRP1
ENSP00000246549	O15552
ENSP00000246551	Q9UBK5
ENSP00000246553	O14842
ENSP00000246657	P32248
ENSP00000246672	P20393
ENSP00000246792	P10301
ENSP00000246794	O14669
ENSP00000246802	Q9NZM5
ENSP00000246868	Q9Y3A5
ENSP00000246912	Q9UH92
ENSP00000246914	Q96J92
ENSP00000247005	P27539
ENSP00000247026	Q9H0G5
ENSP00000247087	Q5TGY3
ENSP00000247191	Q15398
ENSP00000247207	P54652
ENSP00000247270	P22794
ENSP00000247271	P23515
ENSP00000247291	Q9BQI0
ENSP00000247461	P27824
ENSP00000247470	Q9ULZ3
ENSP00000247706	Q96I13
ENSP00000247833	Q96QF0
ENSP00000247930	Q9ULD5
ENSP00000247986	Q9P2E2
ENSP00000248071	Q9Y5W3
ENSP00000248073	O76099
ENSP00000248076	Q96RI0
ENSP00000248114	P55789
ENSP00000248211	P21506
ENSP00000248244	Q8IUC6
ENSP00000248306	Q8N6Q8
ENSP00000248420	Q8WUQ7
ENSP00000248484	Q9NS68
ENSP00000248550	Q8N3S3
ENSP00000248600	Q9Y6J8
ENSP00000248633	O43933
ENSP00000248701	P20155
ENSP00000248846	Q96RT7
ENSP00000248899	Q15080
ENSP00000248929	Q96HU1
ENSP00000248933	Q9BYH1
ENSP00000249014	Q00587
ENSP00000249041	O60755
ENSP00000249053	P15814
ENSP00000249116	P31941
ENSP00000249269	O75439
ENSP00000249330	O15240
ENSP00000249344	Q9ULQ0
ENSP00000249373	Q99835
ENSP00000249442	O75431
ENSP00000249499	P28356
ENSP00000249504	P31277
ENSP00000249636	O75925
ENSP00000249647	O00161
ENSP00000249861	Q9P2Z0
ENSP00000249883	Q9Y2J4
ENSP00000249910	O95243
ENSP00000250003	P15172
ENSP00000250066	P35125
ENSP00000250076	Q9UNY5
ENSP00000250092	P34810
ENSP00000250113	P51116
ENSP00000250124	O75352
ENSP00000250241	Q12906
ENSP00000250360	Q9Y336
ENSP00000250373	Q14934
ENSP00000250377	O15091
ENSP00000250378	P23946
ENSP00000250416	Q9UGN5
ENSP00000250448	P55317
ENSP00000250454	Q56P03
ENSP00000250693	P52961
ENSP00000250784	P22090
ENSP00000250838	Q9Y6F7
ENSP00000250896	Q9HBH9
ENSP00000250916	Q9BXK1
ENSP00000251020	Q9NSC2
ENSP00000251038	Q6PJT7
ENSP00000251047	P49257
ENSP00000251076	Q8TDJ6
ENSP00000251081	Q02487
ENSP00000251089	Q9UNK9
ENSP00000251102	Q14028
ENSP00000251108	Q9BWV3
ENSP00000251119	Q68DK2
ENSP00000251127	Q8IZF0
ENSP00000251170	O43304
ENSP00000251195	Q9HAW4
ENSP00000251250	Q8N5C7
ENSP00000251268	Q7Z7M0
ENSP00000251269	Q9UK13
ENSP00000251287	Q9UL51
ENSP00000251303	Q9BQ83
ENSP00000251343	O15037
ENSP00000251363	Q9HA82
ENSP00000251376	Q8N149
ENSP00000251377	Q8N149
ENSP00000251472	Q9Y2H9
ENSP00000251496	Q9BPX3
ENSP00000251546	Q9H4M3
ENSP00000251547	Q9H4M3
ENSP00000251582	O95450
ENSP00000251588	Q9H6Q4
ENSP00000251636	Q7Z478
ENSP00000251642	Q96C10
ENSP00000251691	Q5TH69
ENSP00000251722	Q9NVE5
ENSP00000251768	Q9BY07
ENSP00000251809	Q07617
ENSP00000251822	Q9BYZ6
ENSP00000251849	P04049
ENSP00000251871	Q9NVC6
ENSP00000251900	Q9UQR0
ENSP00000251973	Q9BWT7
ENSP00000251993	Q6ICG6
ENSP00000252011	Q9H5Z1
ENSP00000252015	Q8TEL6
ENSP00000252034	P15502
ENSP00000252050	Q8IWT3
ENSP00000252087	Q9Y5F6
ENSP00000252100	Q96DC7
ENSP00000252108	Q14139
ENSP00000252115	Q9BY77
ENSP00000252116	Q9BY77
ENSP00000252137	Q96DF8
ENSP00000252207	O15535
ENSP00000252229	Q29980
ENSP00000252244	P04264
ENSP00000252288	Q14353
ENSP00000252318	Q9NY28
ENSP00000252336	Q92502
ENSP00000252338	O75949
ENSP00000252483	Q92692
ENSP00000252485	Q92692
ENSP00000252486	P02649
ENSP00000252490	P02655
ENSP00000252505	Q8N6M5
ENSP00000252512	Q9UIA9
ENSP00000252530	Q17RN3
ENSP00000252542	Q14151
ENSP00000252575	O14594
ENSP00000252594	Q96P11
ENSP00000252674	Q03111
ENSP00000252713	Q8N720
ENSP00000252744	Q9HCJ5
ENSP00000252818	P17535
ENSP00000252825	P23327
ENSP00000252840	Q8N988
ENSP00000252854	Q99784
ENSP00000252891	Q9Y6R0
ENSP00000252934	Q9UBB4
ENSP00000252939	Q9NYX4
ENSP00000252951	P02008
ENSP00000252971	P50219
ENSP00000252979	Q9Y3M9
ENSP00000252996	O00268
ENSP00000252998	Q8NC74
ENSP00000252999	O15230
ENSP00000253008	Q9H4Q4
ENSP00000253031	Q9BWQ6
ENSP00000253048	Q9UPT8
ENSP00000253055	Q02779
ENSP00000253079	Q6P9F0
ENSP00000253083	O75146
ENSP00000253108	O75821
ENSP00000253109	Q8NI99
ENSP00000253110	Q9NUL5
ENSP00000253159	Q9UL36
ENSP00000253188	Q9NS82
ENSP00000253193	O75074
ENSP00000253251	O95155
ENSP00000253255	Q9NTG1
ENSP00000253262	A1L443
ENSP00000253329	Q8WUA2
ENSP00000253332	Q02952
ENSP00000253339	O95835
ENSP00000253452	P13073
ENSP00000253458	Q14687
ENSP00000253490	P0C7A2
ENSP00000253577	O75027
ENSP00000253669	Q9BT25
ENSP00000253673	Q9BY15
ENSP00000253686	P82663
ENSP00000253692	Q92609
ENSP00000253697	Q8ND61
ENSP00000253699	Q9H1K0
ENSP00000253719	O96009
ENSP00000253789	Q9P2W1
ENSP00000253796	O60895
ENSP00000253799	O75106
ENSP00000253801	P35575
ENSP00000253814	Q9BT67
ENSP00000253925	Q13136
ENSP00000253928	Q4VC44
ENSP00000254066	P10276
ENSP00000254079	Q9UD71
ENSP00000254108	P35637
ENSP00000254166	P52740
ENSP00000254182	Q13398
ENSP00000254190	Q86X52
ENSP00000254231	Q9H9Z2
ENSP00000254250	Q9NVV9
ENSP00000254321	Q9H0M5
ENSP00000254325	P22670
ENSP00000254337	Q66K64
ENSP00000254436	P19474
ENSP00000254442	Q9Y4E6
ENSP00000254480	Q92922
ENSP00000254508	Q8TEM1
ENSP00000254528	Q9BXX0
ENSP00000254579	Q96M86
ENSP00000254605	O43159
ENSP00000254616	Q9Y5J6
ENSP00000254624	Q14156
ENSP00000254627	Q02509
ENSP00000254653	Q86XH1
ENSP00000254657	O15055
ENSP00000254667	P23469
ENSP00000254695	Q684P5
ENSP00000254718	Q9BQG0
ENSP00000254722	P36955
ENSP00000254765	Q9HBV1
ENSP00000254799	Q12849
ENSP00000254803	Q9NQZ2
ENSP00000254810	P84243
ENSP00000254816	Q96LD4
ENSP00000254846	O15054
ENSP00000254853	Q9NWF4
ENSP00000254868	Q8IUN9
ENSP00000254900	Q9H0E9
ENSP00000254908	Q9H0N5
ENSP00000254950	Q9UN37
ENSP00000254958	P78504
ENSP00000254960	Q9BYM8
ENSP00000254976	P60880
ENSP00000254977	Q9Y2F9
ENSP00000255006	Q8WYP3
ENSP00000255039	Q9GZV7
ENSP00000255040	P02743
ENSP00000255078	P38935
ENSP00000255120	P49321
ENSP00000255121	P49321
