From	Entry
ENSG00000064601	P10619
ENSG00000064607	Q8IX01
ENSG00000064651	P55011
ENSG00000064655	O00167
ENSG00000064687	Q8IZY2
ENSG00000064692	Q9Y6H5
ENSG00000064726	Q9H0C5
ENSG00000064787	O75363
ENSG00000064932	Q9Y2G9
ENSG00000064933	P54277
ENSG00000064961	Q9P0W2
ENSG00000064989	Q16602
ENSG00000064995	Q15544
ENSG00000064999	Q92625
ENSG00000065000	O14617
ENSG00000065029	P36508
ENSG00000065054	Q15599
ENSG00000065060	Q6BDS2
ENSG00000065308	Q15035
ENSG00000065325	O95838
ENSG00000065361	P21860
ENSG00000065413	Q8N8A2
ENSG00000065485	Q14554
ENSG00000065526	Q96T58
ENSG00000065548	Q8WU90
ENSG00000065559	P45985
ENSG00000065609	O60641
ENSG00000065613	Q9H2G2
ENSG00000065618	Q9UMD9
ENSG00000065882	Q86TI0
ENSG00000065883	Q14004
ENSG00000065923	Q96T83
ENSG00000065970	Q9P0K8
ENSG00000065989	P27815
ENSG00000066027	Q15172
ENSG00000066032	P26232
ENSG00000066044	Q15717
ENSG00000066056	P35590
ENSG00000066084	Q9P265
ENSG00000066230	P48764
ENSG00000066248	Q8N5V2
ENSG00000066279	Q8IZT6
ENSG00000066336	P17947
ENSG00000066382	Q15777
ENSG00000066427	P54252
ENSG00000066455	Q8TBA6
ENSG00000066468	P21802
ENSG00000066629	O00423
ENSG00000066651	Q7Z4G4
ENSG00000066697	Q96H12
ENSG00000066735	Q9ULI4
ENSG00000066739	Q96BY7
ENSG00000066777	Q9Y6D6
ENSG00000066855	Q15390
ENSG00000066926	P22830
ENSG00000066933	B2RTY4
ENSG00000067057	Q01813
ENSG00000067141	Q92859
ENSG00000067177	P46020
ENSG00000067182	P19438
ENSG00000067208	O60447
ENSG00000067248	Q7Z478
ENSG00000067369	Q12888
ENSG00000067596	Q14562
ENSG00000067606	Q05513
ENSG00000067646	P08048
ENSG00000067840	Q76G19
ENSG00000067900	Q13464
ENSG00000068028	Q9NS23
ENSG00000068097	Q6AI08
ENSG00000068120	Q13057
ENSG00000068137	Q7Z736
ENSG00000068305	Q02078
ENSG00000068308	Q96G74
ENSG00000068323	P19532
ENSG00000068354	Q3MII6
ENSG00000068383	Q14642
ENSG00000068394	Q92917
ENSG00000068400	Q4V328
ENSG00000068489	Q96HE9
ENSG00000068650	P98196
ENSG00000068654	O95602
ENSG00000068724	Q9ULT0
ENSG00000068745	Q9UHH9
ENSG00000068796	O00139
ENSG00000068985	O75459
ENSG00000069011	P78337
ENSG00000069020	O15021
ENSG00000069188	Q58EX2
ENSG00000069206	Q9H2U9
ENSG00000069248	Q8WUM0
ENSG00000069275	Q9H1E3
ENSG00000069399	P20749
ENSG00000069424	Q13303
ENSG00000069509	Q8IVP5
ENSG00000069667	P35398
ENSG00000069702	Q03167
ENSG00000069764	O15496
ENSG00000069812	Q9Y543
ENSG00000069956	Q16659
ENSG00000069998	Q9BXW7
ENSG00000070031	P09683
ENSG00000070047	Q9P1Y6
ENSG00000070061	O95163
ENSG00000070159	P26045
ENSG00000070182	P11277
ENSG00000070190	Q9UN19
ENSG00000070193	O15520
ENSG00000070371	P53675
ENSG00000070413	P98153
ENSG00000070423	Q9BV68
ENSG00000070444	Q99583
ENSG00000070526	Q9NSC7
ENSG00000070540	Q5MNZ9
ENSG00000070601	Q5SYB0
ENSG00000070610	Q9HCG7
ENSG00000070614	P52848
ENSG00000070669	P08243
ENSG00000070718	P53677
ENSG00000070729	Q14028
ENSG00000070748	P28329
ENSG00000070778	Q16825
ENSG00000070785	Q9NR50
ENSG00000070814	Q13428
ENSG00000070882	Q9H4L5
ENSG00000070886	P29322
ENSG00000070915	P55017
ENSG00000070950	Q9NS91
ENSG00000070961	P20020
ENSG00000070985	Q9NZQ8
ENSG00000071203	Q9NXJ0
ENSG00000071205	A1A4S6
ENSG00000071242	Q15349
ENSG00000071282	Q9NZU5
ENSG00000071537	Q9UBV2
ENSG00000071553	Q15904
ENSG00000071564	P15923
ENSG00000071655	O95983
ENSG00000071909	Q8WXR4
ENSG00000072062	P17612
ENSG00000072071	O94910
ENSG00000072121	Q68DK2
ENSG00000072133	Q9UK32
ENSG00000072135	Q99952
ENSG00000072182	Q96FT7
ENSG00000072315	Q9UL62
ENSG00000072501	Q14683
ENSG00000072518	Q7KZI7
ENSG00000072571	O75330
ENSG00000072609	Q96EP1
ENSG00000072682	O15460
ENSG00000072778	P49748
ENSG00000072818	Q15027
ENSG00000072840	P57679
ENSG00000072952	Q9Y6F6
ENSG00000072958	Q9BXS5
ENSG00000073111	P49736
ENSG00000073146	Q9BXT6
ENSG00000073150	Q96RD6
ENSG00000073169	Q9BVL4
ENSG00000073282	Q9H3D4
ENSG00000073331	Q96QP1
ENSG00000073350	Q6P1M3
ENSG00000073614	P29375
ENSG00000073737	Q9BPW9
ENSG00000073803	O43283
ENSG00000073849	P15907
ENSG00000073910	Q5TBA9
ENSG00000074047	P10070
ENSG00000074054	Q7Z460
ENSG00000074181	Q9UM47
ENSG00000074276	Q9BYE9
ENSG00000074356	Q53F19
ENSG00000074410	O43570
ENSG00000074527	Q9HB63
ENSG00000074621	O60721
ENSG00000074657	Q9HCE3
ENSG00000074660	Q14162
ENSG00000074695	P49257
ENSG00000074755	O43149
ENSG00000074771	Q9HBY0
ENSG00000074855	Q9HCE9
ENSG00000074964	Q9HCE6
ENSG00000075131	Q9BVW5
ENSG00000075151	O43432
ENSG00000075218	Q9NYZ3
ENSG00000075223	Q99985
ENSG00000075275	Q9NYQ6
ENSG00000075292	Q14966
ENSG00000075336	Q9BVV7
ENSG00000075391	Q9UJF2
ENSG00000075399	Q9Y2B5
ENSG00000075407	P17032
ENSG00000075413	P27448
ENSG00000075415	Q00325
ENSG00000075426	P15408
ENSG00000075429	Q9UF02
ENSG00000075539	O94915
ENSG00000075643	Q96EN8
ENSG00000075702	O43379
ENSG00000075790	Q9UHQ4
ENSG00000075975	Q9H000
ENSG00000076003	Q14566
ENSG00000076053	Q9Y580
ENSG00000076108	Q9UIF9
ENSG00000076201	Q9H3S7
ENSG00000076242	P40692
ENSG00000076258	P31512
ENSG00000076351	Q96NT5
ENSG00000076356	O75051
ENSG00000076513	Q8IZ07
ENSG00000076555	O00763
ENSG00000076662	P32942
ENSG00000076685	P49902
ENSG00000076706	P43121
ENSG00000076716	O75487
ENSG00000076924	Q9HCS7
ENSG00000076928	Q92888
ENSG00000076944	Q15833
ENSG00000077044	Q16760
ENSG00000077063	Q8WZ74
ENSG00000077092	P10826
ENSG00000077097	Q02880
ENSG00000077147	Q9HD45
ENSG00000077150	Q00653
ENSG00000077152	Q9NPD8
ENSG00000077157	O60237
ENSG00000077235	Q12789
ENSG00000077238	P24394
ENSG00000077264	O75914
ENSG00000077274	Q9Y6Q1
ENSG00000077380	Q13409
ENSG00000077420	Q7Z5R6
ENSG00000077454	O75427
ENSG00000077514	Q15054
ENSG00000077585	O60478
ENSG00000077684	Q6IE81
ENSG00000077713	Q8WUT9
ENSG00000077782	P11362
ENSG00000077935	Q8NDV3
ENSG00000077942	P23142
ENSG00000078018	P11137
ENSG00000078043	O75928
ENSG00000078061	P10398
ENSG00000078081	Q9UQV4
ENSG00000078114	O76041
ENSG00000078142	Q8NEB9
ENSG00000078295	Q08462
ENSG00000078304	Q13362
ENSG00000078369	P62873
ENSG00000078399	P31269
ENSG00000078549	P41586
ENSG00000078579	Q9NP95
ENSG00000078618	O43847
ENSG00000078668	Q9Y277
ENSG00000078674	Q15154
ENSG00000078687	Q9HCJ0
ENSG00000078699	O43439
ENSG00000078725	O60477
ENSG00000078747	Q96J02
ENSG00000078804	Q8IXH6
ENSG00000078808	Q9BRK5
ENSG00000078814	A7E2Y1
ENSG00000078900	O15350
ENSG00000079246	P13010
ENSG00000079277	Q9BUB5
ENSG00000079308	Q9HBL0
ENSG00000079313	Q8N1G1
ENSG00000079335	Q9UNH5
ENSG00000079432	Q96RK0
ENSG00000079435	Q05469
ENSG00000079691	Q5VZK9
ENSG00000079819	O43491
ENSG00000079841	Q86UR5
ENSG00000079931	Q6UVY6
ENSG00000079950	O15400
ENSG00000080031	Q9HD43
ENSG00000080189	Q9NQQ7
ENSG00000080200	Q68DQ2
ENSG00000080224	Q9UF33
ENSG00000080298	P48380
ENSG00000080345	Q5UIP0
ENSG00000080371	Q9UL25
ENSG00000080493	Q9Y6R1
ENSG00000080503	P51531
ENSG00000080546	Q9Y6P5
ENSG00000080603	Q6ZRS2
ENSG00000080608	Q15397
ENSG00000080644	P32297
ENSG00000080709	Q9H2S1
ENSG00000080819	P36551
ENSG00000080823	Q9UQ07
ENSG00000080824	P07900
ENSG00000080845	Q9Y2H0
ENSG00000080854	Q9UPX0
ENSG00000081014	Q9UPM8
ENSG00000081019	Q5VWQ0
ENSG00000081026	Q5TCQ9
ENSG00000081059	P36402
ENSG00000081148	Q9BZV3
ENSG00000081248	Q13698
ENSG00000081479	P98164
ENSG00000081692	Q9H9V9
ENSG00000081803	Q86UW7
ENSG00000081818	Q9Y5E5
ENSG00000081842	Q9UN73
ENSG00000081913	O60346
ENSG00000081923	O43520
ENSG00000082014	Q6STE5
ENSG00000082068	Q9NW82
ENSG00000082146	Q9C0K7
ENSG00000082175	P06401
ENSG00000082212	P23368
ENSG00000082258	O60583
ENSG00000082438	Q53SF7
ENSG00000082458	Q92796
ENSG00000082512	O00463
ENSG00000082515	Q9NWU5
ENSG00000082516	Q8TEQ6
ENSG00000082556	P41145
ENSG00000082805	Q8IUD2
ENSG00000082898	O14980
ENSG00000083067	Q9HCF6
ENSG00000083093	Q86YC2
ENSG00000083097	Q5JWR5
ENSG00000083168	Q92794
ENSG00000083312	Q92973
ENSG00000083454	Q93086
ENSG00000083457	P38570
ENSG00000083544	Q9H7E2
ENSG00000083642	Q9NTI5
ENSG00000083782	Q99645
ENSG00000083799	Q9NQC7
ENSG00000083807	Q9Y2P5
ENSG00000083814	Q8TAW3
ENSG00000083817	Q9BWM5
ENSG00000083838	Q9NWS9
ENSG00000083844	O43296
ENSG00000083857	Q14517
ENSG00000083896	Q96MU7
ENSG00000084073	O75844
ENSG00000084090	Q9NQZ5
ENSG00000084092	Q8NC60
ENSG00000084234	Q06481
ENSG00000084453	P46721
ENSG00000084463	Q9Y2W2
ENSG00000084628	Q4KMZ8
ENSG00000084636	Q07092
ENSG00000084652	P40222
ENSG00000084674	P04114
ENSG00000084676	Q15788
ENSG00000084693	Q8NDL9
ENSG00000084710	Q9Y2G0
ENSG00000084731	O14782
ENSG00000084774	P27708
ENSG00000085063	P13987
ENSG00000085185	Q5H9F3
ENSG00000085224	P46100
ENSG00000085265	O00602
ENSG00000085274	Q9NPC7
ENSG00000085382	Q8IYU2
ENSG00000085415	Q96EE3
ENSG00000085511	Q9Y6R4
ENSG00000085552	Q9P2J2
ENSG00000085563	P08183
ENSG00000085644	O14771
ENSG00000085733	Q14247
ENSG00000085831	Q5SRH9
ENSG00000085832	P42566
ENSG00000085840	Q13415
ENSG00000085872	Q8IWX8
ENSG00000085982	Q9NVE5
ENSG00000085998	Q8WZA1
ENSG00000085999	Q92698
ENSG00000086015	Q6P0Q8
ENSG00000086061	P31689
ENSG00000086062	P15291
ENSG00000086159	Q13520
ENSG00000086200	Q9UI26
ENSG00000086232	Q9BQI3
ENSG00000086544	Q96DU7
ENSG00000086570	Q9NYQ8
ENSG00000086589	Q9NW64
ENSG00000086619	Q86YB8
ENSG00000086712	Q9NUQ3
ENSG00000086717	O14829
ENSG00000086730	Q9GZY6
ENSG00000086758	Q7Z6Z7
ENSG00000086827	O43264
ENSG00000086848	Q9H6U8
ENSG00000086967	Q14324
ENSG00000087008	O15254
ENSG00000087053	Q13614
ENSG00000087074	O75807
ENSG00000087077	Q15654
ENSG00000087085	P22303
ENSG00000087086	P02792
ENSG00000087087	Q9BXP5
ENSG00000087095	Q9UBE8
ENSG00000087116	O95450
ENSG00000087152	Q14CW9
ENSG00000087206	Q96RL1
ENSG00000087245	P08253
ENSG00000087250	P25713
ENSG00000087266	P78314
ENSG00000087274	P35611
ENSG00000087299	Q9H9P8
ENSG00000087303	Q14112
ENSG00000087365	Q13435
ENSG00000087460	O95467
ENSG00000087460	P63092
ENSG00000087460	Q5JWF2
ENSG00000087494	P12272
ENSG00000087495	Q96KR7
ENSG00000088002	O00204
ENSG00000088035	Q9Y672
ENSG00000088053	Q9HCN6
ENSG00000088247	Q92945
ENSG00000088256	P29992
ENSG00000088280	Q8TDY4
ENSG00000088538	Q8IZD9
ENSG00000088682	O75208
ENSG00000088726	Q8WWA1
ENSG00000088756	Q9P2N2
ENSG00000088812	O75882
ENSG00000088827	Q9BZZ2
ENSG00000088833	Q9UNZ2
ENSG00000088836	Q8NBS3
ENSG00000088876	Q6P1L6
ENSG00000088881	Q9BQW3
ENSG00000088899	O60299
ENSG00000088970	Q2M2Z5
ENSG00000089006	Q9Y5X3
ENSG00000089009	Q02878
ENSG00000089057	Q9UGH3
ENSG00000089091	Q9NVP4
ENSG00000089094	Q8NHM5
ENSG00000089101	Q8NHU2
ENSG00000089127	P00973
ENSG00000089154	Q92616
ENSG00000089157	P05388
ENSG00000089177	Q96L93
ENSG00000089195	Q9UJA5
ENSG00000089199	P05060
ENSG00000089280	P35637
ENSG00000089356	Q14802
ENSG00000089486	Q9H305
ENSG00000089505	Q8IZ96
ENSG00000089639	Q9P107
ENSG00000089692	P18627
ENSG00000089737	Q9GZR7
ENSG00000089818	Q8NC96
ENSG00000089847	Q8TF21
ENSG00000089902	Q9UKL0
ENSG00000089916	Q9NWQ4
ENSG00000090006	Q8N2S1
ENSG00000090020	P19634
ENSG00000090061	O75909
ENSG00000090097	P57723
ENSG00000090238	P61236
ENSG00000090266	O95178
ENSG00000090372	Q9NRL3
ENSG00000090376	Q9Y616
ENSG00000090382	P61626
ENSG00000090402	P14410
ENSG00000090447	Q01664
ENSG00000090470	Q8N8D1
ENSG00000090512	Q9UGM5
ENSG00000090530	Q8IVL5
ENSG00000090539	Q9H2X0
ENSG00000090554	P49771
ENSG00000090565	O75154
ENSG00000090615	Q08378
ENSG00000090621	Q13310
ENSG00000090661	Q9HA82
ENSG00000090686	Q86UV5
ENSG00000090776	P98172
ENSG00000090857	Q8NCN5
ENSG00000090863	Q92896
ENSG00000090889	O95239
ENSG00000090905	Q8NDV7
ENSG00000090924	Q9H7P9
ENSG00000090932	Q9NYJ7
ENSG00000090975	Q9BZ72
ENSG00000091009	Q9P2N5
ENSG00000091039	Q9BZF1
ENSG00000091073	Q86UW9
ENSG00000091106	Q9NPP4
ENSG00000091128	A4D0S4
ENSG00000091129	Q92823
ENSG00000091138	P40879
ENSG00000091140	P09622
ENSG00000091157	Q9Y4E6
ENSG00000091428	Q8WZA2
ENSG00000091436	Q9NYL2
ENSG00000091490	Q68CR1
ENSG00000091527	Q9UKY7
